KM	Homo sapiens	-999	more	*Km-value for copper varies insignificantly between different mutants and wild-type enzyme
SA	Mus musculus	-999	*	*copper concentration in the mammary gland reduced in transgenic mice, immunofluorescence analysis of mammary gland tissue, tissue copper concentration, mRNA levels of endogenous ATP7A and ATP7B and of ATP7B protein unaltered in mammary gland of transgenic mice, ATP7A plays a role in removing excess copper from mammary epithelial cells rather than supplying copper to milk; mRNA levels of endogenous ATP7B and of ATP7B protein unaltered in mammary gland of transgenic mice
SA	Homo sapiens	-999	*	*effect of hormone treatment on expression analyzed by Western blot, indirect immunocytochemistry and real-time PCR, copper transport and accumulation, insulin and oestrogen increase ATP7A mRNA and protein levels and alter the localization of ATP7A towards the basolateral membrane in a copper-independent manner, insulin and oestrogen increase the transport of copper across basolateral membrane, model of insulin and oestrogen effect on ATP7A and ATP7B in the placenta; effect of hormone treatment on expression analyzed by Western blot, indirect immunocytochemistry and real-time PCR, copper transport and accumulation, levels of ATP7B decreased in response to insulin, protein shown to localize in a tight perinuclear region, corresponding decrease in copper efflux across the apical membrane, model of insulin and oestrogen effect on ATP7A and ATP7B in the human placenta
SA	Homo sapiens	-999	*	*analysis of ATP7B at the cell surface by expression studies in intact cells, presence of ATP7B at the plasma membrane shown by electron microscopy, freeze-fracture experiments and surface luminescence measurements, delivery to the plasma membrane of oocytes unaffected by deletion of the N-terminal copper-binding domain or the inactivating mutation of catalytic Asp1027, surface targeting decreased for ATP7B variants with mutations in the ATP-binding site or in the copper-binding site, ligand-stabilized conformations important for ATP7B trafficking
SA	Homo sapiens	-999	*	*immunocytochemistry experiments, co-localization studies performed, consequences of ATP7B inactivation in knock-out mice analyzed, studies on Wilson disease causing mutation H1069Q summarized
SA	Homo sapiens	-999	*	*discussion on identification of copper transporters ATP7A and ATP7B as platinum drug transporters, structural, functional and mechanistic aspects summarized, future research directions improving efficacy of platinum-based-based drugs in cancer chemotherapy through modulation of their transporter activities summarized; discussion on identification of copper transporters ATP7A and ATP7B as platinum drug transporters, structural, functional and mechanistic aspects summarized, future research directions improving efficacy of platinum-based-based drugs in cancer chemotherapy through modulation of their transporter activities summarized
SA	Homo sapiens	-999	*	*histoculture drug response assay for prediction of drug sensitivity of clinical cancers applied, ATP7A expression shown to enhance efflux rates of doxorubicin and 7-ethyl-10-hydroxy-camptothecin (SN-38) from cells, increased uptake of 7-ethyl-10-hydroxy-camptothecin in membrane vesicles indicated, ATP7A-expressing colon cancer cells shown to be more resistant to 7-ethyl-10-hydroxy-camptothecin than ATP7A-negative cells
SA	Homo sapiens	-999	*	*microscopy and cell fractionation studies applied to study cellular distribution of ATP7B, profile of radio-labelled copper excretion into the bile measured, evidence of copper excretion by transcytosis across the hepatocyte and by paracellular transport throughout the tight junctions discussed
SA	Homo sapiens	-999	*	*11 missense variants of ATP7B identified in Wilson disease patients analyzed by capacity of functional complementation of a yeast mutant strain disrupted by the ATP7B gene ortholog CCC2, solution structures and homology of ATP7B domains used to predict effects of each variant
SA	Drosophila melanogaster	-999	*	*enhancer element with sufficient regulatory information to rescue DmATP7 mutant flies to adulthood, regulation of DmATP7 expression shown to be not used to limit copper absorption in toxic copper conditions, functional role for copper transport in neuronal tissues indicated, role for export of copper from midgut cells supported by localization studies
SA	Mus musculus	-999	*	*immunodetection studies to analyze specific roles for ATP7A and ATP7B, partial overlap in the intracellular localization of ATP7A and ATP7B due to different sorting and trafficking fates; partial overlap in the intracellular localization of ATP7A and ATP7B due to different sorting and trafficking fates, specific role of ATP7B in tissues, in which it is co-expressed with ATP7A, may involve delivery of copper to ceruloplasmin, apical copper export and/or fine tuning of intracellular copper by sequestration of copper in the vesicles
SA	Homo sapiens	-999	*	*molecular mechanisms of ATP7A and ATP7B function and the effects of disease-causing mutations, genotype-phenotype correlations in the development of Menke disease and Wilson disease
SA	Aquifex aeolicus	-999	*	*CtrA2 protein shown to have a CPC metal-binding sequence in TM6 and a CxxC metal-binding N-terminal domain, substrate ion-induced activity on lipids, pH, temperature, ionic strength and thiols tested, CtrA2 protein activated by Ag+ and Cu2+, transport of reduced copper ion; CtrA3 protein has a CPH metal-binding motif in TM6 and a histidine-rich N-terminal metal-binding domain substrate ion-induced activity on lipids, pH, temperature, ionic strength and thiols, eight membrane-spanning alpha-helices per monomer determined by structural analysis, arrangement of the six central helices surrounding the ion-binding site in the membrane conserved, sequence alignment and fitting of domains to the projection map
SA	Glycine max	-999	*	*immunoblot analysis and immunofluorescence labelling, electron microscopy immunogold labelling applied for subcompartmental localization
SA	Homo sapiens	-999	*	*ATP-dependent accumulation of cisplatin indicated, cisplatin shown to induce acyl-phosphorylation of ATP7B but at slower rate than copper, Vmax value for cisplatin shown to be nearly 28fold lower than that for copper
SA	Mus musculus	-999	*	*connection between copper homeostasis and NMDA receptor activity, ATP7A required for copper-dependent effects
SA	Rattus norvegicus	-999	*	*connection between copper homeostasis and NMDA receptor activity, ATP7A required for copper-dependent effects
SA	Homo sapiens	0.081	*	*partially purifed recombinant ATP7B in microsomes, copper-dependent, steady-state ATPase, 37&Acirc;&deg;C, pH 6.0, in presence of copper and copper chelator
SA	Homo sapiens	0.112	*	*partially purifed recombinant ATP7B in microsomes, copper-dependent, steady-state ATPase, 37&Acirc;&deg;C, pH 6.0 in presence of copper
