KCAT	Homo sapiens	6.48	dehydroepiandrosterone sulfate	*pH 8, 37&deg;C
KM	Pseudomonas aeruginosa	0.035	testosterone 3-sulfate	*wild-type, pH 9.0, 37&Acirc;&deg;C
KM	Pseudomonas aeruginosa	0.036	testosterone 3-sulfate	*mutant R155P, pH 9.0, 37&Acirc;&deg;C
KM	Pseudomonas aeruginosa	0.037	testosterone 3-sulfate	*mutant R155T, pH 9.0, 37&Acirc;&deg;C
KM	Pseudomonas aeruginosa	0.038	testosterone 3-sulfate	*mutant R155P/I156V/L325F/K330V, pH 9.0, 37&Acirc;&deg;C
KM	Pseudomonas aeruginosa	0.053	testosterone 3-sulfate	*mutant K330V, pH 9.0, 37&Acirc;&deg;C
KM	Pseudomonas aeruginosa	0.088	testosterone 3-sulfate	*mutant R155T/K330V, pH 9.0, 37&Acirc;&deg;C
KM	Danio rerio	0.0019	17beta-estradiol sulfate	*pH 7.0, 37&Acirc;&deg;C
KM	Danio rerio	0.0021	17beta-estradiol sulfate	*pH 7.0, 28&Acirc;&deg;C
KM	Homo sapiens	0.0043	17beta-estradiol sulfate	*pH 7.0, 37&Acirc;&deg;C
KM	Pseudomonas aeruginosa	0.026	epiandrosterone 3-sulfate	*pH 8.8, 37&Acirc;&deg;C
KM	Pseudomonas aeruginosa	0.05	testosterone 17-sulfate	*pH 8.8, 37&Acirc;&deg;C
MW	Homo sapiens	-999	*	*native PAGE analysis of solubilized single crystals of ES shows all possible oligomeric states between a monomer and a tetramer, but predominantly the monomeric and dimeric states
MW	Rattus norvegicus	22900	*	*series of isoenzymes
MW	Homo sapiens	30000	*	*x * 30000, SDS-PAGE
MW	Bos taurus	38000	*	*alpha2,beta2, 2 * 57000 + 2 * 38000, two 57 kDa catalytic and two 38 kDa regulatory subunits, SDS-PAGE
MW	Aspergillus nidulans	44000	*	*
MW	Homo sapiens	54000	*	*amino acid analysis
MW	Bos taurus	57000	*	*alpha2,beta2, 2 * 57000 + 2 * 38000, two 57 kDa catalytic and two 38 kDa regulatory subunits, SDS-PAGE
MW	Mus musculus	60000	*	*
MW	Pseudomonas aeruginosa	60000	*	*
MW	Mus musculus	60000	*	*SDS-PAGE
MW	Mus musculus	60000	*	*linkage of the murine STS locus to the pseudoautosomal region in the X and Y chromosome
MW	Homo sapiens	61000	*	*SDS-PAGE, immunoblot analysis with specific antibody
MW	Homo sapiens	62000	*	*SDS-PAGE
MW	Homo sapiens	62000	*	*
MW	Mus musculus	62000	*	*SDS-PAGE
MW	Homo sapiens	62000	*	*amino acid analysis
MW	Homo sapiens	62000	*	*x * 62000, SDS-PAGE
MW	Homo sapiens	64000	*	*placenta, reduced, SDS-PAGE
MW	Homo sapiens	64000	*	*x * 64000, SDS-PAGE of enzymes from placenta and adipose tissue
MW	Homo sapiens	65000	*	*x * 65000, SDS-PAGE
MW	Homo sapiens	65000	*	*x * 65000, SDS-PAGE
MW	Rattus norvegicus	72000	*	*4 * 72000, SDS-PAGE
MW	Homo sapiens	73000	*	*placenta, SDS-PAGE
MW	Rattus norvegicus	74000	*	*6 * 74000, placenta, SDS-PAGE
MW	Homo sapiens	74000	*	*gel filtration
MW	Homo sapiens	78000	*	*1 * 78000, solubilized in Triton X-100; alpha, 3 * 78000, SDS-PAGE,solubilized in Triton X-100
MW	Homo sapiens	103000	*	*brain
MW	Mus musculus	128000	*	*gel filtration
MW	Rattus norvegicus	130000	*	*estrone sulfatase is identical to arylsulfatase C but not to sulfatases which hydrolyse dehydroepiabdrosterone, testosterone, pregnenolone, and cholesterol; gel filtration
MW	Chlamydomonas reinhardtii	150000	*	*
MW	Bos taurus	180000	*	*gel filtration, in the presence of Triton X-100
MW	Homo sapiens	183000	*	*placenta, s-form, gel filtration, two isoforms s- and f-form
MW	Homo sapiens	200000	*	*liver, f-form, gel filtration, two isoforms s- and f-form
MW	Homo sapiens	238000	*	*gel filtration
MW	Homo sapiens	250000	*	*gel filtration
MW	Homo sapiens	270000	*	*placenta, nonreduced, gel filtration
MW	Homo sapiens	270000	*	*gel filtration
MW	Homo sapiens	270000	*	*gel filtration
MW	Rattus norvegicus	280000	*	*gel filtration
MW	Rattus norvegicus	280000	*	*gel filtration
MW	Homo sapiens	390000	*	*placenta, gel filtration
MW	Homo sapiens	440000	*	*placenta
MW	Homo sapiens	500000	*	*placenta, gel filtration
PATH	*	Steroid hormone biosynthesis	*	*
SA	Homo sapiens	-999	*	*STS activities in male or female aortas with different degrees of atherosclerotic changes
SA	Homo sapiens	-999	*	*
SA	Homo sapiens	-999	*	*
SA	Homo sapiens	-999	*	*higher specific activity in the dermal papilla by a factor of 6-8 than in the connective tissue sheaths or root sheaths
SA	Homo sapiens	-999	*	*no sex- or age-specific differences in cerebral STS activity
SA	Homo sapiens	-999	*	*
SA	Homo sapiens	-999	*	*
SA	Homo sapiens	-999	*	*STS activity in 86% of human endometrial cancer tissue, 26% in normal endometrial tissue in 26%, confirmed by immunohistochemistry, STS acitivity in MCF-7 breast cancer cells about 20 fmol/20 h/million cells, STS acitivity in Ishikawa endometrial cancer cells 39.4 fmol/20 h/million cells, STS acitivity in LNCaP prostate cancer cells 41.5 fmol/20 h/million cells, STS acitivity in OVCAR-3 ovarian cancer cells 127.4 fmol/20 h/million cells
SA	Bos taurus	0.000002961	*	*
SA	Homo sapiens	0.0000128	*	*pH 7.5, 37&Acirc;&deg;C, subcortical white matter
SA	Homo sapiens	0.000015	*	*in primary mammary carcinoma
SA	Homo sapiens	0.0000265	*	*pH 7.5, 37&Acirc;&deg;C, cerebral neocortex
SA	Homo sapiens	0.385	*	*pH 6.4, 37&Acirc;&deg;C
SA	Homo sapiens	1.52	*	*
SA	Homo sapiens	1.556	*	*pH 8, 37&Acirc;&deg;C, hydrolysis of dehydroepiandrosterone sulfate
