KCAT	Bacillus licheniformis	1.392	casein	*pH 8.0, 37&deg;C
KM	Aspergillus sojae	44.5	acetyl-(Ala)2 methyl ester	*Aspergillus sojae
KM	Aspergillus melleus	68.5	acetyl-(Ala)2 methyl ester	*Aspergillus melleus
KM	Aspergillus sojae	96.8	Acetyl-Ala methyl ester	*Aspergillus sojae
KM	Aspergillus melleus	194	acetyl-(Ala)4 methyl ester	*Aspergillus melleus
MW	Aspergillus fumigatus	15500	*	*x * 15500, AP15, SDS-PAGE and mass spectrometry, x * 30000, AP30, SDS-PAGE and mass spectrometry
MW	Aspergillus terreus	16000	*	*about, native PAGE
MW	Aspergillus flavus	18000	*	*Aspergillus flavus
MW	Aspergillus flavus	22000	*	*Aspergillus flavus, gel filtration
MW	Aspergillus candidus	22000	*	*Aspergillus candidus, calculation from amino acid composition
MW	Aspergillus candidus	23000	*	*Aspergillus candidus, gel filtration
MW	Aspergillus oryzae	23000	*	*Aspergillus oryzae, gel filtration
MW	Aspergillus flavus	23620	*	*Aspergillus flavus, ultracentrifugal measurements
MW	Aspergillus oryzae	25000	*	*Aspergillus oryzae, gel filtration
MW	Aspergillus sojae	25500	*	*Aspergillus sojae
MW	Aspergillus fumigatus	30000	*	*x * 15500, AP15, SDS-PAGE and mass spectrometry, x * 30000, AP30, SDS-PAGE and mass spectrometry
MW	Aspergillus oryzae	33000	*	*gel filtration
MW	Aspergillus oryzae	34000	*	*x * 34000, recombinant enzyme, SDS-PAGE
MW	Aspergillus oryzae	35000	*	*Aspergillus oryzae, gel filtration
MW	Aspergillus nidulans	35000	*	*x * 35000, SDS-PAGE
SA	Aspergillus flavus	-999	*	*
SA	Aspergillus oryzae	-999	*	*
SA	Aspergillus candidus	-999	*	*
SA	Aspergillus flavus	-999	*	*
SA	Aspergillus oryzae	-999	*	*
SA	Aspergillus oryzae	-999	*	*
SA	Aspergillus clavatus	-999	*	*
SA	Aspergillus oryzae	-999	*	*
SA	Aspergillus oryzae	-999	*	*584000 U/g, one unit is the amount of enzyme that produces TCA mixture-soluble materials equivalent to 1 microgram of tyrosine from casein per min at pH 9.0 and 45&deg;C
SA	Aspergillus oryzae	25.7	*	*crude extract
SA	Streptomyces sp. M30	29.07	*	*purified extracellular enzyme, pH 9.0, 75&deg;C
SA	Aspergillus oryzae	40.94	*	*culture supernatant
SA	Aspergillus oryzae	92.73	*	*purified recombinant enzyme
SA	Aspergillus terreus	148.9	*	*purified enzyme, pH 11.0, 40&deg;C
SA	Aspergillus oryzae	632.6	*	*purified native enzyme, pH 9.0, 28&deg;C
SA	Aspergillus oryzae	750	*	*30fold purified enzyme
