KCAT	Thermobifida fusca	0.00039	2,4-dinitrophenol cellobiose	*pH 5.5
MW	Cellulomonas fimi	47300	*	*x * 47300, nonglycosylated form, SDS-PAGE
MW	Sporotrichum pulverulentum	48600	*	*ultracentrifugation
MW	Cellulomonas fimi	49300	*	*x * 49300, glycosylated form, SDS-PAGE
MW	Clostridium cellulovorans	51570	*	*calculated
MW	Irpex lacteus	53000	*	*isoenzyme II
MW	Irpex lacteus	53000	*	*Ex-1, SDS-PAGE
MW	Irpex lacteus	56000	*	*isoenzyme I
MW	Ruminococcus albus	58000	*	*x * 58000, SDS-PAGE
MW	Vibrio cholerae serotype O1	62000	*	*calculation from sequence of amino acids
MW	Ruminococcus albus	64000	*	*gel filtration
MW	Talaromyces funiculosus	65000	*	*gel filtration
MW	Vibrio cholerae serotype O1	65000	*	*SDS-PAGE
MW	Fibrobacter succinogenes subsp. succinogenes S85	76000	*	*1 * 76000, SDS-PAGE
MW	Fibrobacter succinogenes subsp. succinogenes S85	77000	*	*sequence analysis
MW	Pseudomonas fluorescens	80000	*	*x * 80000, SDS-PAGE
MW	Komagataeibacter xylinus	81200	*	*x * 81200, SDS-PAGE
MW	Nakazawaea wickerhamii	83500	*	*2 * 83500
MW	Ruminiclostridium papyrosolvens	85000	*	*x * 85000, SDS-PAGE
MW	Prevotella ruminicola	87000	*	*x * 87000, SDS-PAGE
MW	Thermoclostridium stercorarium	87000	*	*x * 87000, SDS-PAGE
MW	Chaetomium globosum	88000	*	*SDS-PAGE
MW	Stereum hirsutum	98000	*	*8 * 98000, SDS-PAGE
MW	Ruminococcus albus	100000	*	*alpha,beta, 2 * 100000, SDS-PAGE
MW	Ruminococcus flavefaciens	112000	*	*x * 112000, SDS-PAGE
MW	Gecarcoidea natalis	130300	*	*gel filtration
MW	Nakazawaea wickerhamii	151000	*	*gel filtration
MW	Gecarcoidea natalis	169300	*	*calculated from amino acid sequence
MW	Ruminococcus albus	200000	*	*gel filtration
MW	Stereum hirsutum	780000	*	*gel filtration
PATH	*	cellulose degradation	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Starch and sucrose metabolism	*	*
SA	Sporotrichum pulverulentum	-999	*	*
SA	Komagataeibacter xylinus	-999	*	*840 U/mg
SA	Ruminococcus albus	-999	*	*20.8 OD405/mg
SA	Thermobifida fusca	-999	*	*cloned Cel48A, 0.068 &Acirc;&micro;mol/min/&Acirc;&micro;mol, filter paper, pH 5.5, at 50&Acirc;&ordm;C, liquid assays; cloned Cel48A, 0.191 &Acirc;&micro;mol/min/&Acirc;&micro;mol, bacterial microcrystalline cellulose, pH 5.5, at 50&Acirc;&ordm;C, liquid assays; cloned Cel48A, 0.288 &Acirc;&micro;mol/min/&Acirc;&micro;mol, swollen cellulose, pH 5.5, at 50&Acirc;&ordm;C, thin-layer analysis; cloned Cel48A, 0.292 &Acirc;&micro;mol/min/&Acirc;&micro;mol, carboxymethyl cellulose, pH 5.5, at 50&Acirc;&ordm;C, liquid assays; cloned Cel48A, 0.405 &Acirc;&micro;mol/min/&Acirc;&micro;mol, swollen cellulose, pH 5.5, at 50&Acirc;&ordm;C, liquid assays; cloned Cel48A, approximately 16 &Acirc;&micro;mol/min/&Acirc;&micro;mol, cellotetraose, pH 5.5, at 50&Acirc;&ordm;C, thin-layer analysis; cloned Cel48A, approximately 9 &Acirc;&micro;mol/min/&Acirc;&micro;mol, cellopentaose, pH 5.5, at 50&Acirc;&ordm;C, thin-layer analysis; native Cel48A, 17.9 &Acirc;&micro;mol/min/&Acirc;&micro;mol, swollen cellulose, pH 5.5, at 50&Acirc;&ordm;C; native Cel48A, 3.7 &Acirc;&micro;mol/min/&Acirc;&micro;mol, carboxymethyl cellulose, pH 5.5, at 50&Acirc;&ordm;C
SA	Irpex lacteus	0.0011	*	*P-42, cotton, pH 5, at 30&Acirc;&ordm;C
SA	Irpex lacteus	0.0012	*	*P-42, avicel, pH 5, at 30&Acirc;&ordm;C
SA	Irpex lacteus	0.0021	*	*P-42, bacterial cellulose, pH 5, at 30&Acirc;&ordm;C
SA	Thermoclostridium stercorarium	0.0037	*	*
SA	Irpex lacteus	0.0142	*	*Ex-1, cotton, pH 5, at 30&Acirc;&ordm;C
SA	Irpex lacteus	0.0145	*	*Ex-1, bacterial cellulose, pH 5, at 30&Acirc;&ordm;C
SA	Irpex lacteus	0.0209	*	*Ex-1, avicel, pH 5, at 30&Acirc;&ordm;C
SA	Irpex lacteus	0.0243	*	*Ex-1, 4-methylumbelliferyl-beta-D-lactoside, pH 5, at 30&Acirc;&ordm;C
SA	Irpex lacteus	0.0244	*	*P-42, 4-methylumbelliferyl-beta-D-lactoside, pH 5, at 30&Acirc;&ordm;C
SA	Thermoclostridium stercorarium	0.025	*	*cellulose MN300
SA	Irpex lacteus	0.026	*	*Ex-1, carboxymethyl cellulose, pH 5, at 30&Acirc;&ordm;C
SA	Thermoclostridium stercorarium	0.03	*	*cellulose HBS
SA	Irpex lacteus	0.0311	*	*P-42, carboxymethyl cellulose, pH 5, at 30&Acirc;&ordm;C
SA	Fibrobacter succinogenes subsp. succinogenes S85	0.038	*	*with avicel
SA	uncultured bacterium	0.04	*	*using filter paper as substrate, at 60&Acirc;&deg;C in pH 6.5 citrate buffer
SA	Thermoclostridium stercorarium	0.041	*	*avicel
SA	Gecarcoidea natalis	0.067	*	*crude enzyme from homogenate, using cellobiose as substrate, pH and temperature not specified in the publication
SA	Exophiala sp.	0.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Thermoclostridium stercorarium	0.102	*	*H3PO4 swollen avicel
SA	Thermoclostridium stercorarium	0.108	*	*HCl swollen avicel
SA	Thermoclostridium stercorarium	0.128	*	*celloheptaose
SA	uncultured bacterium	0.2	*	*using avicel as substrate, at 60&Acirc;&deg;C in pH 6.5 citrate buffer
SA	Chloridium sp.	0.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Exophiala sp.	0.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Gecarcoidea natalis	0.228	*	*after 3.4fold purification, using cellobiose as substrate, pH and temperature not specified in the publication
SA	Thermoclostridium stercorarium	0.236	*	*cellohexaose
SA	Fibrobacter succinogenes subsp. succinogenes S85	0.25	*	*with amorphous cellulose
SA	Fibrobacter succinogenes subsp. succinogenes S85	0.275	*	*with carboxymethyl cellulose
SA	Caldicellulosiruptor bescii	0.285	*	*
SA	Cladosporium sp.	0.3	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Exophiala sp.	0.3	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Fusarium sp.	0.3	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Vibrio cholerae serotype O1	0.323	*	*pH 6.5, at 37&Acirc;&ordm;C
SA	Thermoclostridium stercorarium	0.34	*	*xylan
SA	uncultured rumen bacterium	0.35	*	*2-nitrophenyl beta-D-galactopyranoside as substrate, pH 4.6, 40&Acirc;&deg;C
SA	Fusarium sp.	0.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Minimidochium sp. TMS-2011	0.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week; 37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Phoma sp.	0.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Thermoclostridium stercorarium	0.42	*	*cellopentaose
SA	Chloridium sp.	0.5	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Cordyceps sp.	0.5	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Cladosporium sp.	0.6	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Minimidochium sp. TMS-2011	0.6	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	uncultured rumen bacterium	0.65	*	*2-nitrophenyl beta-D-galactopyranoside as substrate, pH 4.6, 42&Acirc;&deg;C
SA	Thermoclostridium stercorarium	0.684	*	*cellotetraose
SA	Nigrospora sp.	0.7	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Cladosporium sp.	0.8	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Minimidochium sp. TMS-2011	0.8	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Phoma sp.	0.8	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Fusarium sp.	0.9	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Microdochium sp.	0.9	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks; 37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Alternaria sp.	1.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Chloridium sp.	1.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Cladosporium sp.	1.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Nigrospora sp.	1.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Trichoderma sp.	1.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Humicola grisea var. thermoidea	1.14	*	*substrate 4-nitrophenyl alpha-D-glucopyranoside, pH 5.0, 50&Acirc;&deg;C
SA	Chloridium sp.	1.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Microdochium sp.	1.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Phoma sp.	1.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Postia placenta	1.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Aspergillus sp.	1.3	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Trichoderma reesei	1.3	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Arthrinium sp.	1.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Aspergillus sp.	1.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Bipolaris sp.	1.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Cephalosporium sp.	1.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Phanerochaete chrysosporium	1.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Sporothrix sp.	1.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Trichoderma sp.	1.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Trichoderma reesei	1.5	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Trichoderma sp.	1.5	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Bipolaris sp.	1.6	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Trichoderma sp.	1.6	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Aspergillus sp.	1.7	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks; 37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Postia placenta	1.7	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Aureobasidium sp.	1.8	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Microdochium sp.	1.8	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Nigrospora sp.	1.8	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks; 37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Chaetomium globosum	1.9	*	*sigmacell, pH 5.0
SA	Arthrinium sp.	1.9	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Bipolaris sp.	1.9	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Trichoderma reesei	1.9	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Fusarium sp.	2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Postia placenta	2.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Cordyceps sp.	2.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks; 37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Fusarium sp.	2.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Trichoderma reesei	2.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Trichoderma sp.	2.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Arthrinium sp.	2.3	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Exophiala sp.	2.3	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Alternaria sp.	2.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Sporothrix sp.	2.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Chaetomium globosum	2.53	*	*cellulose acetate, pH 5.0
SA	Humicola grisea var. thermoidea	2.57	*	*substrate carboxymethyl cellulose, pH 5.0, 50&Acirc;&deg;C
SA	Arthrinium sp.	2.6	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Aureobasidium sp.	2.9	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Penicillium sp.	2.9	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Arthrinium sp.	3.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Neurospora crassa	3.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Cordyceps sp.	3.3	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Chaetomium globosum	3.36	*	*cellulose, pH 5.0
SA	Dothideomycetes sp.	3.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Chaetomium globosum	3.583	*	*alpha-cellulose, pH 5.0
SA	Epicoccum sp.	3.7	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Penicillium sp.	3.9	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Neurospora crassa	4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Alternaria sp.	4.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Cephalosporium sp.	4.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Cephalosporium sp.	5	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Dothideomycetes sp.	5	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
