KCAT	Noccaea caerulescens	300	ATP	*in the presence of Zn2+ or Cd2+, in 0.6 M Tris, 2 M NaCl and 0.1 M MgCl2, pH 8.0, at 30&deg;C
MW	Noccaea caerulescens	60000	*	*gel filtration
MW	Noccaea caerulescens	60000	*	*determined by SDS-PAGE and Western-blotting
MW	Noccaea caerulescens	60000	*	*x * 60000, SDS-PAGE
MW	Escherichia coli	69000	*	*the mutant lacking the N-terminal domain and both the CCCDXXC and GXXCXXC, SDS-PAGE
MW	Escherichia coli	80000	*	*gel electrophoresis
MW	Escherichia coli	80000	*	*wild-type, SDS-PAGE
MW	Escherichia coli	80000	*	*monomeric form, SDS-PAGE
MW	Escherichia coli	80000	*	*monomer, determined by SDS-PAGE
MW	Escherichia coli	92000	*	*1 * 92000, also detection of a dimeric form of 190000 Da, SDS-PAGE; 2 * 92000, also detection of a monomeric form of 92000 Da, SDS-PAGE
MW	Noccaea caerulescens	128000	*	*predicted protein size
MW	Escherichia coli	160000	*	*dimeric form, SDS-PAGE
SA	Escherichia coli	-999	*	*The activity with Ni2+, Co2+ and Cu2+ are extremely low, 10-20fold lower compared with the values obtained with Pb2+, Zn2+ and Cd2+.
SA	Homarus americanus	0.001242	*	*
SA	Homarus americanus	0.001584	*	*pH condition equal, pH = 7.0/7.0
SA	Homarus americanus	0.001668	*	*pH condition equal, pH = 5.0/5.0
SA	Homarus americanus	0.001866	*	*pH condition outward gradient, pH = 5.0/7.0
SA	Homarus americanus	0.001916	*	*carrier transport is stimulated by the addition of 1 mM ATP
SA	Homarus americanus	0.002082	*	*pH condition inward gradient, pH = 7.0/5.0
