KCAT	Escherichia virus T4	-999	more	*the kinetic mechanism of single-turnover nick sealing by T4 Rnl2-AMP is explored by using a rapid mix-quench method and the effects of 3'-OH mispairs and base damage lesions on the rates of nick 5'-adenylylation and phosphodiester synthesis is determined. With respect to the sealing of perfectly paired nicks the rates of step 2 catalysis are rapid (9.5-17.9/sec) and similar in magnitude to the step 3 rates (7.9-32/sec). Rnl2 is kinetically sensitive to all 3'-OH base mispairs
MW	Naegleria gruberi	38000	*	*gel filtration
MW	Escherichia virus T4	42000	*	*SDS-PAGE
MW	Escherichia virus T4	42000	*	*recombinant protein, adsorption to Ni-agarose and step-elution with imidazole
MW	Vibrio phage KVP40	42000	*	*adsorption to Ni-agarose and step-elution with imidazole
MW	Escherichia virus T4	43000	*	*x * 43000, SDS-PAGE
MW	Escherichia virus T4	45000	*	*1 * 45000, SDS-PAGE after reduction with 2-mercaptoethanol
MW	Methanothermobacter thermautotrophicus	45000	*	*2 * 45000, calculated and sedimentation analysis
MW	Escherichia virus T4	47000	*	*gel filtration, high-speed sedimentation equilibrium centrifugation
MW	Escherichia virus T4	47000	*	*gel filtration, high-speed sedimentation equilibrium centrifugation
MW	Trypanosoma brucei	48000	*	*SDS-PAGE
MW	Trypanosoma brucei	50000	*	*immunoblotting
MW	Rhodothermus phage RM378	51300	*	*calculated from the putative RNA ligase 1 gene
MW	Escherichia virus T4	52000	*	*gel filtration
MW	Trypanosoma brucei	52000	*	*
SA	Triticum aestivum	-999	*	*
SA	Homo sapiens	-999	*	*
SA	Triticum aestivum	-999	*	*
SA	Escherichia virus T4	-999	*	*
SA	Escherichia virus T4	-999	*	*
SA	Escherichia virus T4	-999	*	*
SA	Escherichia virus T4	-999	*	*
SA	Triticum aestivum	0.00152	*	*
SA	Escherichia virus T4	0.0034	*	*with geranyl diphosphate as substrate
SA	Escherichia virus T4	0.0037	*	*with dimethylallyl diphosphate as substrate
SA	Escherichia virus T4	0.004	*	*with (2E,6E)-farnesyl diphosphate as substrate
SA	Escherichia virus T4	0.0062	*	*with isopentenyl diphosphate as substrate
SA	Escherichia virus T4	0.016	*	*with (2E,6E)-farnesyl triphosphate as substrate
SA	Escherichia virus T4	0.0166	*	*with geranyl triphosphate as substrate
SA	Escherichia virus T4	0.0335	*	*with isopentenyl triphosphate as substrate
SA	Escherichia virus T4	0.0383	*	*5'-phosphate terminus rendered resistant to phosphatase
SA	Escherichia virus T4	0.06	*	*
