KCAT	Gluconacetobacter diazotrophicus	22000	acetic acid	*cosubstrate ferricyandie, pH 3.5, 30&deg;C
MW	Gluconobacter sp.	141000	*	*gel filtration
MW	Sphingomonas wittichii	330000	*	*PAGE, minor protein band
MW	Sphingomonas wittichii	450000	*	*PAGE
PATH	*	Fatty acid degradation	*	*
PATH	*	Pyruvate metabolism	*	*
SA	Pseudomonas putida	-999	*	*substrate specificities of ADH isozymes, detailed overview; substrate specificities of ADH isozymes, detailed overview
SA	Acetobacter pasteurianus	0.0018	*	*cell-free extracts, horse heart cytochrome c as electron acceptor, pH 5.5
SA	Thauera butanivorans	0.0019	*	*lactate-grown cell extract
SA	Thauera butanivorans	0.0044	*	*2-butanol-grown cell extract
SA	Acetobacter pasteurianus	0.01	*	*cell-free extracts, horse heart cytochrome c as electron acceptor, pH 7.8
SA	Thauera butanivorans	0.0106	*	*1-butanol-grown cell extract
SA	Acetobacter pasteurianus	0.066	*	*cell-free extracts, 2,6-dichlorophenol-indophenol as electron acceptor, pH 7.8
SA	Acetobacter pasteurianus	0.096	*	*cell-free extracts, O2 as electron acceptor, pH 7.8
SA	Acetobacter pasteurianus	0.318	*	*cell-free extracts, ferricyanide as electron acceptor, pH 5.3
SA	Thauera butanivorans	4.8	*	*purified enzyme
SA	Pseudomonas putida	14	*	*purified ADH IIG, substrate glycerol with cofactor ferricyanide
SA	Pseudomonas putida	26.8	*	*purified ADH I, substrate ethanol with cofactors
SA	Cupriavidus necator	39.7	*	*purified enzyme
SA	Sphingomonas wittichii	180	*	*substrate L-sorbosone, pH 8, 25&deg;C
SA	Gluconacetobacter diazotrophicus	258	*	*
SA	Acetobacter sp.	293	*	*purified native enzyme
SA	Gluconobacter oxydans	430	*	*
SA	Acetobacter aceti	654	*	*
SA	Sphingomonas wittichii	1050	*	*substrate glyoxal, pH 8, 25&deg;C
SA	Sphingomonas wittichii	1060	*	*substrate glycolaldehyde, pH 8, 25&deg;C
SA	Sphingomonas wittichii	1170	*	*substrate 3-methylbenzaldehyde, pH 8, 25&deg;C
SA	Sphingomonas wittichii	1450	*	*substrate valeraldehyde, pH 8, 25&deg;C
SA	Sphingomonas wittichii	1690	*	*substrate methylglyoxal, pH 8, 25&deg;C
SA	Sphingomonas wittichii	1740	*	*substrate propanal, pH 8, 25&deg;C
SA	Sphingomonas wittichii	1900	*	*substrate phenylglyoxal, pH 8, 25&deg;C
SA	Sphingomonas wittichii	2470	*	*substrate butanal, pH 8, 25&deg;C
