KCAT	Desulfovibrio desulfuricans	-999	more	*
KM	archaebacterium	0.4	ferricyanide	*
KM	Prosthecochloris vibrioformis	4.2	ferricyanide	*
KM	Desulfovibrio vulgaris	4.5	UMP	*reaction with cytochrome c
KM	Ulva intestinalis	1.4	GSH	*
KM	Thiobacillus thioparus	0.01	GMP	*reaction with cytochrome c
KM	Thiobacillus denitrificans	0.63	GMP	*reaction with ferricyanide
KM	Desulfovibrio vulgaris	1.25	GMP	*reaction with cytochrome c
KM	Desulfovibrio vulgaris	3	GMP	*reaction with ferricyanide
KM	Desulfovibrio vulgaris	0.8	IMP	*reaction with ferricyanide
KM	Desulfovibrio vulgaris	1.5	IMP	*reaction with cytochrome c
KM	Desulfovibrio vulgaris	0.015	riboflavin	*
KM	Ulva intestinalis	0.0065	adenylyl sulfate	*
KM	Archaeoglobus fulgidus	0.015	adenylyl sulfate	*
KM	Desulfovibrio vulgaris	0.019	adenylyl sulfate	*
KM	Bacillus subtilis	0.029	adenylyl sulfate	*pH 8 and saturating thioredoxin 1
KM	Bacillus subtilis	0.105	adenylyl sulfate	*pH 8 and saturating glutaredoxin 1
KM	Prosthecochloris vibrioformis	0.25	adenylyl sulfate	*
KM	Ulva intestinalis	0.011	5'-adenylylsulfate	*
KM	Bacillus subtilis	0.053	thioredoxin 1	*pH 8 and saturating adenylyl sulfate
KM	Desulfovibrio vulgaris	0.025	guanylyl sulfate	*
KM	Bacillus subtilis	0.022	glutaredoxin 1	*pH 8 and saturating adenylyl sulfate
MW	Archaeoglobus fulgidus	17100	*	*alpha2beta2, 2 * 73300 + 2 * 17100, SDS-PAGE
MW	Desulfovibrio aminophilus	18000	*	*1 * 18000 + 1 * 75000, containing one FAD per molecule and eight iron atoms arranged in two [4Fe-4S] clusters, SDS-PAGE
MW	Archaeoglobus fulgidus	18500	*	*2 * 80000 + 1 * 18500, alpha2beta structure, SDS-PAGE
MW	Desulfovibrio vulgaris	20000	*	*x * 72000 + x * 20000, SDS-PAGE
MW	Desulfovibrio desulfuricans	20000	*	*alpha,beta, 1 * 75000 + 1 * 20000, SDS-PAGE
MW	Ulva intestinalis	20000	*	*calculated from sequence of cDNA, C-terminal domain of EiAPR; MALDI-TOF mass spectrometry, C-terminal domain of EiAPR
MW	Archaeoglobus fulgidus	20000	*	*1 * 75000 + 1 * 20000, alpha2beta2 heterotetramer
MW	uncultured Desulfoarculaceae bacterium	20000	*	*1 * 70000 + 1 * 20000, SDS-PAGE (in denaturing gels, only the small subunit is visible because the large AprA subunit probably overlapped with the highly abundant a-subunit of reverse methylcoenzyme M reductase)
MW	Desulfovibrio vulgaris	25600	*	*alpha2beta2, 2 * 67800 + 2 * 25600, smallest catalytic active unit, SDS-PAGE
MW	Desulfovibrio desulfuricans	26000	*	*x * 70000 + x * 26000, SDS-PAGE
MW	Desulfovibrio gigas	26000	*	*x * 70000 + x * 26000, SDS-PAGE
MW	Desulfovibrio gigas	26000	*	*x * 70000 + x * 26000, SDS-PAGE
MW	Bacillus subtilis	27000	*	*2 * 27000, SDS-PAGE
MW	Acidithiobacillus ferrooxidans	28000	*	*SDS-PAGE
MW	Mycobacterium tuberculosis	28350	*	*calculated average mass, determined on the elemental composition of the apoprotein plus the components in the metal center, assuming that all cysteines are in reduced form and the metal cluster has an oxidation state of zero
MW	Mycobacterium tuberculosis	28360	*	*calculated from amino acid sequence
MW	Mycobacterium tuberculosis	28513	*	*1 * 28513, analytical ultracentrifugation
MW	Mycobacterium tuberculosis	28560	*	*calculated from amino acid sequence
MW	Mycobacterium tuberculosis	28700	*	*gel filtration
MW	Mycobacterium tuberculosis	28700	*	*1 * 28700, ESI-FTICR mass spectrometry
MW	Mycobacterium tuberculosis	28710	*	*electrospray FT-ICR mass spectrometry
MW	Mycobacterium tuberculosis	28710	*	*ESI-FTICR mass spectrometry; theoretical value based on the chemical formula
MW	Pseudomonas aeruginosa	30470	*	*MALDI-TOF mass spectrometry, the enzyme used is a recombinant protein with 48 additional residues containing the His6 tag
MW	Pseudomonas aeruginosa	35000	*	*SDS-PAGE
MW	Pseudomonas aeruginosa	35430	*	*mass spectrometry
MW	Ulva intestinalis	48000	*	*non-reducing and reducing SDS-PAGE
MW	Ulva intestinalis	48700	*	*MALDI-TOF mass spectrometry, whole enzyme
MW	Ulva intestinalis	48710	*	*calculated from sequence of cDNA, whole enzyme
MW	Arabidopsis thaliana	52000	*	*SDS-PAGE
MW	Desulfovibrio vulgaris	67800	*	*alpha2beta2, 2 * 67800 + 2 * 25600, smallest catalytic active unit, SDS-PAGE
MW	Desulfovibrio desulfuricans	70000	*	*x * 70000 + x * 26000, SDS-PAGE
MW	Desulfovibrio gigas	70000	*	*x * 70000 + x * 26000, SDS-PAGE
MW	Desulfovibrio gigas	70000	*	*x * 70000 + x * 26000, SDS-PAGE
MW	uncultured Desulfoarculaceae bacterium	70000	*	*1 * 70000 + 1 * 20000, SDS-PAGE (in denaturing gels, only the small subunit is visible because the large AprA subunit probably overlapped with the highly abundant a-subunit of reverse methylcoenzyme M reductase)
MW	Desulfovibrio vulgaris	72000	*	*x * 72000 + x * 20000, SDS-PAGE
MW	Archaeoglobus fulgidus	73300	*	*alpha2beta2, 2 * 73300 + 2 * 17100, SDS-PAGE
MW	Desulfovibrio desulfuricans	75000	*	*alpha,beta, 1 * 75000 + 1 * 20000, SDS-PAGE
MW	Desulfovibrio aminophilus	75000	*	*1 * 18000 + 1 * 75000, containing one FAD per molecule and eight iron atoms arranged in two [4Fe-4S] clusters, SDS-PAGE
MW	Archaeoglobus fulgidus	75000	*	*1 * 75000 + 1 * 20000, alpha2beta2 heterotetramer
MW	Desulfovibrio vulgaris	75000	*	*1 * 75000 + 1 * ?, X-ray crystallography
MW	archaebacterium	80000	*	*2 * 80000, SDS-PAGE
MW	Archaeoglobus fulgidus	80000	*	*2 * 80000 + 1 * 18500, alpha2beta structure, SDS-PAGE
MW	Desulfovibrio desulfuricans	90000	*	*dynamic light scattering
MW	Ulva intestinalis	96000	*	*non-reducing SDS-PAGE, 16% of the protein was present as a homodimer
MW	archaebacterium	160000	*	*gel filtration
MW	Archaeoglobus fulgidus	160000	*	*gel filtration
MW	Archaeoglobus fulgidus	160000	*	*
MW	Desulfovibrio gigas	160000	*	*
MW	Desulfovibrio desulfuricans	170000	*	*
MW	Thiobacillus thioparus	170000	*	*
MW	Desulfomicrobium baculatum	170000	*	*
MW	Desulfovibrio desulfuricans	170000	*	*
MW	Desulfovibrio multispirans	170000	*	*
MW	Desulfobulbus propionicus	175000	*	*gel filtration
MW	Thermodesulfobacterium thermophilum	175000	*	*
MW	Thiobacillus denitrificans	180000	*	*
MW	Thiocapsa roseopersicina	180000	*	*
MW	Prosthecochloris vibrioformis	180000	*	*gel filtration
MW	Desulfovibrio vulgaris	186000	*	*smallest catalytic active subunit, also aggregations of 324000 Da and 569000 Da are detected, gel filtration
MW	Desulfovibrio desulfuricans	190000	*	*gel filtration
MW	Thiobacillus denitrificans	200000	*	*estimation from sedimentation coefficient
MW	Chlorobium limicola	210000	*	*gel filtration
MW	Desulfovibrio vulgaris	220000	*	*
MW	Desulfovibrio vulgaris	220000	*	*
MW	Desulfovibrio gigas	400000	*	*gel filtration
MW	Desulfovibrio vulgaris	439500	*	*equilibrium sedimentation
MW	Mycobacterium tuberculosis	600000	*	*gel filtration, the majority of the protein is aggregated
PATH	*	dissimilatory sulfate reduction I (to hydrogen sufide))	*	*
PATH	*	dissimilatory sulfate reduction II (to thiosulfate)	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	sulfate reduction	*	*
PATH	*	sulfite oxidation II	*	*
PATH	*	sulfite oxidation III	*	*
PATH	*	Sulfur metabolism	*	*
SA	Allochromatium vinosum	-999	*	*
SA	Desulfovibrio desulfuricans	-999	*	*
SA	Allochromatium vinosum	-999	*	*specificity runs though a maximum after 30 h of growth
SA	Thiocapsa roseopersicina	-999	*	*
SA	Archaeoglobus fulgidus	-999	*	*
SA	Arabidopsis thaliana	-999	*	*L-cysteine and glutathione reduce the enzyme activity both in vitro and in vivo
SA	Pseudomonas aeruginosa	-999	*	*specific activities in transgenic Arabidopsis thaliana shoots transfected with Pseudomonas aeruginosa adenylyl-sulfate reductase
SA	Astragalus crassicarpus	0.0001	*	*enzyme reaction is initiated by the addition of crude protein extracts (0.015 mg of protein) and incubated at 30&deg;C for 30 min
SA	Astragalus racemosus	0.0003	*	*enzyme reaction is initiated by the addition of crude protein extracts (0.015 mg of protein) and incubated at 30&deg;C for 30 min
SA	Astragalus crotalariae	0.0005	*	*enzyme reaction is initiated by the addition of crude protein extracts (0.015 mg of protein) and incubated at 30&deg;C for 30 min
SA	Astragalus tephrosioides	0.0005	*	*enzyme reaction is initiated by the addition of crude protein extracts (0.015 mg of protein) and incubated at 30&deg;C for 30 min
SA	Astragalus pectinatus	0.0006	*	*enzyme reaction is initiated by the addition of crude protein extracts (0.015 mg of protein) and incubated at 30&deg;C for 30 min
SA	Astragalus bisulcatus	0.0013	*	*enzyme reaction is initiated by the addition of crude protein extracts (0.015 mg of protein) and incubated at 30&deg;C for 30 min
SA	Astragalus cicer	0.0017	*	*enzyme reaction is initiated by the addition of crude protein extracts (0.015 mg of protein) and incubated at 30&deg;C for 30 min
SA	Ulva intestinalis	0.011	*	*mutant enzyme 342S
SA	Ulva intestinalis	0.15	*	*mutant enzyme 345S
SA	Pseudomonas aeruginosa	0.302	*	*mutant enzyme C140S, at 30&deg;C in 100 mM Tris-HCl buffer pH 8.0 containing 1 mM EDTA, 5 mM DTT, 0.106 mM thioredoxin from Escherichia coli, and 0.05 mM APS
SA	Desulfomicrobium baculatum	0.6	*	*
SA	Desulfovibrio vulgaris	1.25	*	*
SA	Archaeoglobus fulgidus	1.65	*	*
SA	archaebacterium	2.39	*	*
SA	Desulfovibrio salexigens	2.5	*	*
SA	Ulva intestinalis	3.5	*	*mutant enzyme C250S
SA	Mycobacterium tuberculosis	4.6	*	*untagged APS reductase using Escherichia coli thioredoxin
SA	Mycobacterium tuberculosis	5.1	*	*His-tagged APS reductase using Escherichia coli thioredoxin
SA	Desulfovibrio vulgaris	5.75	*	*
SA	Chlorobium limicola	5.75	*	*
SA	Pseudomonas aeruginosa	5.8	*	*
SA	Desulfovibrio gigas	6	*	*
SA	Desulfovibrio gigas	6	*	*
SA	Thiobacillus thioparus	6.4	*	*
SA	Ulva intestinalis	7.248	*	*wild type enzyme
SA	Desulfobulbus propionicus	8.93	*	*
SA	Pseudomonas aeruginosa	10.3	*	*wild type enzyme, at 30&deg;C in 100 mM Tris-HCl buffer pH 8.0 containing 1 mM EDTA, 5 mM DTT, 0.106 mM thioredoxin from Escherichia coli, and 0.05 mM APS
SA	Desulfovibrio desulfuricans	13	*	*
SA	Prosthecochloris vibrioformis	13.15	*	*
SA	Lemna minor	30	*	*
SA	Ulva intestinalis	40	*	*
