KCAT	Marinobacter hydrocarbonoclasticus	4794	hexadecanol	*pH 7.4, 37&Acirc;&deg;C, isozyme WS2
SA	Psychrobacter cryohalolentis	0.83	*	*substrate dodecanol, pH 7.0, 22&deg;C
SA	Acinetobacter baylyi	0.84	*	*substrate dodecanol, pH 7.0, 22&deg;C
SA	Marinobacter hydrocarbonoclasticus	1.6	*	*substrate hexadecan-1-ol, mutant A360I, pH not specified in the publication, temperature not specified in the publication
SA	Marinobacter hydrocarbonoclasticus	1.64	*	*substrate hexadecan-1-ol, mutant A360V, pH not specified in the publication, temperature not specified in the publication
SA	Marinobacter hydrocarbonoclasticus	1.85	*	*substrate hexadecan-1-ol, mutant A360F, pH not specified in the publication, temperature not specified in the publication
SA	Acinetobacter baylyi ADP1	2	*	*pH 7.4, 35&deg;C
SA	Marinobacter hydrocarbonoclasticus	2.7	*	*substrate hexadecan-1-ol, wild-type, pH not specified in the publication, temperature not specified in the publication
SA	Rhodococcus jostii	3.37	*	*substrate dodecanol, pH 7.0, 22&deg;C
SA	Marinobacter hydrocarbonoclasticus	3.6	*	*substrate nonan-1-ol, wild-type, pH not specified in the publication, temperature not specified in the publication
SA	Marinobacter hydrocarbonoclasticus	4.96	*	*substrate dodecanol, isoform Ma2, pH 7.0, 22&deg;C
SA	Marinobacter hydrocarbonoclasticus	7.8	*	*substrate nonan-1-ol, mutant A360F, pH not specified in the publication, temperature not specified in the publication
SA	Marinobacter hydrocarbonoclasticus	16.6	*	*substrate nonan-1-ol, mutant A360V, pH not specified in the publication, temperature not specified in the publication
SA	Marinobacter hydrocarbonoclasticus	19.6	*	*substrate nonan-1-ol, mutant A360I, pH not specified in the publication, temperature not specified in the publication
SA	Marinobacter hydrocarbonoclasticus	34.3	*	*substrate dodecan-1-ol, mutant A360I, pH not specified in the publication, temperature not specified in the publication
SA	Marinobacter hydrocarbonoclasticus	34.6	*	*substrate dodecan-1-ol, mutant A360F, pH not specified in the publication, temperature not specified in the publication
SA	Marinobacter hydrocarbonoclasticus	35.9	*	*substrate dodecan-1-ol, mutant A360V, pH not specified in the publication, temperature not specified in the publication
SA	Marinobacter hydrocarbonoclasticus	37.3	*	*substrate dodecanol, isoform Ma1, pH 7.0, 22&deg;C
SA	Marinobacter hydrocarbonoclasticus	46.5	*	*substrate dodecan-1-ol, wild-type, pH not specified in the publication, temperature not specified in the publication
SA	Acinetobacter baylyi	70	*	*substrate hexadecan-1-ol, wild-type, pH not specified in the publication, temperature not specified in the publication
SA	Acinetobacter baylyi	80	*	*substrate hexadecan-1-ol, mutant G355I, pH not specified in the publication, temperature not specified in the publication
SA	Acinetobacter baylyi	140	*	*substrate nonan-1-ol, wild-type, pH not specified in the publication, temperature not specified in the publication
SA	Acinetobacter baylyi	360	*	*substrate nonan-1-ol, mutant G355I, pH not specified in the publication, temperature not specified in the publication
SA	Acinetobacter baylyi	960	*	*substrate dodecan-1-ol, wild-type, pH not specified in the publication, temperature not specified in the publication
SA	Acinetobacter baylyi	1700	*	*substrate dodecan-1-ol, mutant G355I, pH not specified in the publication, temperature not specified in the publication
