,Reaction,EC
83,ENO,4.2.1.11
84,FBA,4.1.2.13
85,MGSA,4.2.3.3
86,PPS,2.7.9.2
87,PGI,5.3.1.9
88,PGK,2.7.2.3
89,EDA,4.1.2.14
90,EDA,4.1.2.55
91,PGL,3.1.1.31
92,RPE,5.1.3.1
93,TALA,2.2.1.2
94,TKT1,2.2.1.1
95,G6PDA,3.5.99.6
96,ALCD2x,1.1.1.1
97,ALCD2x,1.1.1.71
98,ALDD2y,1.2.1.-
99,ALDD2y,1.2.1.4
100,ALDD2y,1.2.1.5
101,RMI,5.3.1.14
102,FMNAT,2.7.7.2
103,NADDP,3.6.1.22
104,NADDP,3.6.1.9
105,NMNAT,2.7.7.1
106,NMNAT,2.7.7.18
107,HMPK1,2.7.1.49
108,NDPK6,2.7.4.6
109,NDPK8,2.7.4.6
110,PYNP2r,2.4.2.2
111,PYNP2r,2.4.2.3
112,DURIPP,2.4.2.1
113,DURIPP,2.4.2.2
114,DURIPP,2.4.2.3
115,DURIPP,2.4.2.4
116,PTRCTA,2.6.1.29
117,PTRCTA,2.6.1.82
118,CYSDS,4.4.1.1
119,CYSDS,4.4.1.28
120,CYSDS,4.4.1.8
121,TRPAS2,4.1.99.1
122,NDP3,3.6.1.42
123,NDP3,3.6.1.5
124,NDP3,3.6.1.6
125,CDPPH,3.6.1.5
126,CDPPH,3.6.1.6
127,NDP7,3.6.1.5
128,NDP7,3.6.1.6
129,PMDPHT,3.1.3.-
130,PMDPHT,3.1.3.104
131,ILETA,2.6.1.42
132,VALTA,2.6.1.42
133,VALTA,2.6.1.6
134,ORPT,2.4.2.10
135,RBFSa,2.5.1.78
136,RBFSa,2.5.1.9
137,DHAD2,4.2.1.9
138,G1PP,3.1.3.10
139,PFL,2.3.1.54
140,FRD3,1.3.99.1
141,PTAr,2.3.1.8
142,ACKr,2.7.2.1
143,ACKr,2.7.2.15
144,MOAT,2.4.99.12
145,UDCPDPS,2.5.1.-
146,UDCPDPS,2.5.1.31
147,UDCPDPS,2.5.1.M1
148,USHD,3.6.1.54
149,LPADSS,2.4.1.182
150,TDSK,2.7.1.130
151,NTPP1,3.6.1.-
152,NTPP1,3.6.1.19
153,NTPP1,3.6.1.9
154,NTPP2,3.6.1.-
155,NTPP2,3.6.1.8
156,NTPP2,3.6.1.9
157,NTPTP1,3.1.5.1
158,IPMD,1.1.1.85
159,AIRC3,5.4.99.18
160,ADSL2r,4.3.2.2
161,PUNP5,2.4.2.1
162,PUNP5,2.4.2.15
163,PUNP6,2.4.2.1
164,PUNP6,2.4.2.4
165,PUNP7,2.4.2.-
166,PUNP7,2.4.2.1
167,RNDR1,1.17.4.1
168,RNDR3,1.17.4.1
169,RNDR4,1.17.4.1
170,TMDS,2.1.1.45
171,TMDK1,2.7.1.145
172,TMDK1,2.7.1.21
173,PPCDC,4.1.1.36
174,FTHFD,3.5.1.10
175,EDD,4.2.1.12
176,DHQTi,4.2.1.10
177,PUNP1,2.4.2.1
178,PUNP2,2.4.2.1
179,PUNP3,2.4.2.1
180,PUNP3,2.4.2.15
181,LYSAM,5.4.3.2
182,DHAD1,4.2.1.9
183,IPPMIa,4.2.1.33
184,G3PD7,1.1.99.5
185,MDH,1.1.1.299
186,MDH,1.1.1.37
187,FUM,4.2.1.2
188,PYDXNK,2.7.1.35
189,PYAM5PO,1.4.3.5
190,OHPBAT,2.6.1.52
191,GLUTRR,1.2.1.70
192,GLCS1,2.4.1.21
193,HEMEOS,2.5.1.-
194,ADMDC,4.1.1.50
195,AGMT,3.5.3.11
196,ARGDC,4.1.1.19
197,ARGSS,6.3.4.5
198,AGPR,1.2.1.38
199,SPMS,2.5.1.16
200,G1SAT,5.4.3.8
201,KDOCT2,2.7.7.38
202,OAADC,1.1.1.38
203,OAADC,1.1.1.40
204,OAADC,4.1.1.-
205,OAADC,4.1.1.3
206,MNNH,4.2.1.8
207,ALTRH,4.2.1.7
208,GUI1,5.3.1.12
209,PGAMT,5.4.2.10
210,UAGDP,2.7.7.23
211,UAGCVT,2.5.1.7
212,GLUR,5.1.1.3
213,UAG2E,5.1.3.14
214,MACPD,2.3.1.-
215,MACPD,4.1.1.87
216,DMQMT,2.1.1.64
217,ICHORS_copy1,5.4.4.2
218,HACD5,1.1.1.211
219,HACD5,1.1.1.35
220,DNMPPA,3.6.1.-
221,HPPK2,2.7.6.3
222,PTPATi,2.7.7.3
223,HEX7,2.7.1.1
224,HEX7,2.7.1.4
225,DXPRIi,1.1.1.267
226,OPHBDC,4.1.1.98
227,OHPHM,2.1.1.222
228,GHMT2r,2.1.2.1
229,INSK,2.7.1.73
230,ABTA,2.6.1.19
231,SSALx,1.2.1.16
232,SSALx,1.2.1.24
233,ASPT,4.3.1.1
234,SERD_L,4.3.1.15
235,SERD_L,4.3.1.17
236,SERD_L,4.3.1.19
237,THRD,1.1.1.103
238,HEX4,2.7.1.1
239,HEX4,2.7.1.7
240,KARA1,1.1.1.383
241,KARA1,1.1.1.86
242,KARA2,1.1.1.86
243,ACCOAC,6.4.1.2
244,NADK,2.7.1.23
245,ICHORS_copy2,5.4.4.2
246,SUCBZS,4.2.1.-
247,SUCBZS,4.2.1.113
248,DHBD,1.3.1.28
249,ICHORT,3.3.2.1
250,RBK_L1,2.7.1.16
251,RBP4E,5.1.3.4
252,NTD2,3.1.3.5
253,NTD4,3.1.3.5
254,NTD4,3.1.3.91
255,NTD5,3.1.3.35
256,NTD5,3.1.3.5
257,NTD5,3.1.3.89
258,NTD6,3.1.3.5
259,NTD6,3.1.3.89
260,LGTHL,4.4.1.5
261,PYDXPP,3.1.3.74
262,PDXPP,3.1.3.74
263,HACD6,1.1.1.211
264,HACD6,1.1.1.35
265,ECOAH1,4.2.1.150
266,ECOAH1,4.2.1.17
267,ECOAH1,4.2.1.55
268,ECOAH2,4.2.1.17
269,ECOAH2,4.2.1.74
270,ECOAH3,4.2.1.17
271,ECOAH3,4.2.1.74
272,UGLT,2.7.7.12
273,DXPS,2.2.1.7
274,CDPMEK,2.7.1.148
275,MECDPS,4.6.1.12
276,DDGLK,2.7.1.178
277,DDGLK,2.7.1.45
278,XYLI2,5.3.1.5
279,PMANM,5.4.2.8
280,ICL,4.1.3.1
281,GLYCL,1.4.4.2
282,GLYCL,1.8.1.4
283,GLYCL,2.1.2.10
284,CMPN,3.2.2.10
285,HCYSMT,2.1.1.-
286,HCYSMT,2.1.1.10
287,UDPG4E,5.1.3.2
288,LACZ,3.2.1.108
289,LACZ,3.2.1.23
290,TRE6PH,3.2.1.122
291,TRE6PH,3.2.1.93
292,XYLI1,5.3.1.5
293,PPC,4.1.1.31
294,G3PT,3.1.3.21
295,CINNDO,1.14.12.19
296,DHPPD,1.3.1.87
297,DHCIND,1.3.1.87
298,CITL,4.1.3.6
299,GOFUCR,1.1.1.271
300,PYDXK,2.7.1.35
301,GTPCII2,3.5.4.25
302,URIC,1.7.3.3
303,SADT2,2.7.7.4
304,LCARS,1.1.1.77
305,ALCD19,1.1.1.21
306,ALCD19,1.1.1.72
307,RMPA,4.1.2.19
308,SBTPD,1.1.1.140
309,PFK_2,2.7.1.11
310,PFK_2,2.7.1.144
311,PFK_2,2.7.1.56
312,GLTPD,1.1.1.251
313,GLTPD,1.1.1.M6
314,TGBPA,4.1.2.40
315,MANAO,1.1.1.57
316,TAGURr,1.1.1.58
317,PGLYCP,3.1.3.18
318,GLXCL,4.1.1.47
319,TARTD,4.2.1.32
320,GLCRAL,4.1.2.20
321,KAS14,2.3.1.-
322,KAS14,2.3.1.179
323,KAS14,2.3.1.180
324,KAS14,2.3.1.41
325,KAS14,2.3.1.85
326,KAS14,2.3.1.86
327,EDTXS1,2.3.1.241
328,EDTXS2,2.3.1.243
329,NNDPR,2.4.2.19
330,HACD4,1.1.1.211
331,HACD4,1.1.1.35
332,HACD7,1.1.1.211
333,HACD7,1.1.1.35
334,AACPS1,6.2.1.20
335,SDPDS,3.5.1.18
336,DKGLCNR2y,1.1.1.-
337,DKGLCNR2y,1.1.1.215
338,RZ5PP,3.1.3.73
339,NTD9,3.1.3.5
340,NTD10,3.1.3.5
341,ADPT,2.4.2.7
342,ADPT,2.4.2.8
343,ADK1,2.7.4.3
344,OCTDPS,2.5.1.90
345,AACPS2,6.2.1.20
346,AACPS3,6.2.1.20
347,AMANK,2.7.1.60
348,ACNML,4.1.3.3
349,CAT,1.11.1.21
350,CAT,1.11.1.6
351,ACMAMUT,2.4.1.180
352,DDGALK,2.7.1.178
353,DDGALK,2.7.1.58
354,AB6PGH,3.2.1.86
355,AMALT1,2.4.1.25
356,MLTP2,2.4.1.1
357,PACCOAL,6.2.1.30
358,AADDGT,2.4.1.325
359,TRE6PS,2.4.1.15
360,TREH,3.2.1.28
361,CYTK1,2.7.4.14
362,CYTK1,2.7.4.25
363,CYTK2,2.7.4.13
364,CYTK2,2.7.4.14
365,CYTK2,2.7.4.25
366,GK1,2.7.4.8
367,HACD1,1.1.1.35
368,HACD2,1.1.1.211
369,HACD2,1.1.1.35
370,ACACCT,2.8.3.8
371,ACACCT,2.8.3.9
372,BUTCT,2.8.3.8
373,G1PTT,2.7.7.24
374,TDPGDH,4.2.1.46
375,UDPGALM,5.4.99.9
376,TDPDRE,5.1.3.13
377,TDPDRR,1.1.1.133
378,ALLTN,3.5.2.5
379,UAPGR,1.3.1.98
380,NDPK7,2.7.4.6
381,AOBUTDs,1.1.1.381
382,GLYAT,2.3.1.29
383,GLYAT,2.3.1.37
384,ADNUC,3.2.2.1
385,ADNUC,3.2.2.7
386,ADNUC,3.2.2.8
387,S7PI,5.3.1.28
388,TRPS3,4.1.2.8
389,TRPS3,4.2.1.20
390,CRNBTCT,2.8.3.21
391,CRNCBCT,2.8.3.21
392,CRNCDH,4.2.1.149
393,FADRx,1.5.1.36
394,FADRx,1.5.1.37
395,FADRx,1.5.1.45
396,GTPDPK,2.7.6.5
397,NADN,3.2.2.5
398,NADN,3.2.2.6
399,NADN,3.5.1.-
400,NDPK2,2.7.4.6
401,NDPK3,2.7.4.6
402,NDPK4,2.7.4.6
403,FCLT,4.99.1.1
404,HBZOPT,2.5.1.39
405,PNTK,2.7.1.33
406,DPCOAK,2.7.1.24
407,HETZK,2.7.1.50
408,KDOPS,2.5.1.55
409,KDOPP,3.1.3.45
410,AST,2.3.1.109
411,SGDS,3.5.1.96
412,CYNTAH,4.2.1.104
413,GSPMDA,3.5.1.-
414,GSPMDA,3.5.1.78
415,GSPMDS,6.3.1.8
416,GSPMDS,6.3.1.9
417,GUAD,3.5.4.3
418,DGK1,2.7.4.12
419,DGK1,2.7.4.13
420,DGK1,2.7.4.8
421,DTMPK,2.7.4.12
422,DTMPK,2.7.4.13
423,DTMPK,2.7.4.9
424,NDPK1,2.7.4.6
425,TRDR,1.6.4.5
426,TRDR,1.8.1.9
427,PGMT,5.4.2.2
428,PGMT,5.4.2.5
429,PGMT,5.4.2.8
430,FRUK,2.7.1.56
431,RHCCE,4.4.1.21
432,KG6PDC,4.1.1.85
433,X5PL3E,5.-.-.-
434,X5PL3E,5.1.3.22
435,DOGULNR,1.1.1.130
436,BETALDHx,1.2.1.8
437,BETALDHy,1.2.1.8
438,MLTG3,3.2.1.20
439,MLTG3,3.2.1.74
440,NADTRHD,1.6.1.1
441,NADTRHD,1.6.1.2
442,NADTRHD,1.6.1.3
443,FMNRx2,1.5.1.-
444,FMNRx2,1.5.1.38
445,FMNRx2,1.5.1.39
446,ACPS1,2.7.8.7
447,GMPS2,6.3.5.2
448,AMPN,3.2.2.4
449,GSNK,2.7.1.73
450,ADCS,2.6.1.85
451,ADCL,4.1.3.38
452,DHAPT,2.7.1.121
453,UMPK,2.7.4.14
454,UMPK,2.7.4.22
455,UMPK,2.7.4.4
456,DDPGALA,4.1.2.21
457,DDPGALA,4.1.2.55
458,DURIK1,2.7.1.145
459,DURIK1,2.7.1.21
460,UPPRT,2.4.2.9
461,CTPS2,6.3.4.2
462,NTD1,3.1.3.5
463,NTD1,3.1.3.89
464,NTD7,3.1.3.5
465,PAPPT3,2.7.8.13
466,UAGPT3,2.4.1.227
467,F6PA,4.1.2.-
468,AGMHE,5.1.3.20
469,GMHEPAT,2.7.7.70
470,IDOND,1.1.1.264
471,IDOND,1.1.1.366
472,IDOND2,1.1.1.264
473,GLYCLTDx,1.1.1.26
474,GLYCLTDx,1.1.1.29
475,GLYCLTDx,1.1.1.79
476,HPYRRy,1.1.1.-
477,HPYRRy,1.1.1.79
478,HPYRRy,1.1.1.81
479,ACODA,3.5.1.14
480,ACODA,3.5.1.16
481,ADA,3.5.4.4
482,DADA,3.5.4.4
483,ADD,3.5.4.2
484,ADSS,6.3.4.4
485,AGDC,3.5.1.25
486,ASNN,3.5.1.1
487,ASNN,3.5.1.38
488,ASNN,3.5.5.4
489,ASNS2,6.3.1.1
490,ASNS2,6.3.5.4
491,ASPCT,2.1.3.2
492,DMPPS,1.17.1.2
493,MCOATA,2.3.1.-
494,MCOATA,2.3.1.0
495,MCOATA,2.3.1.39
496,MCOATA,2.3.1.85
497,MCOATA,2.3.1.86
498,IPDPS,1.17.1.2
499,DAPE,5.1.1.7
500,DHDPRy,1.3.1.26
501,HSK,2.7.1.39
502,SDPTA,2.6.1.17
503,THRS,4.2.3.1
504,HSST,2.3.1.46
505,PPNDH,4.2.1.51
506,PPNDH,4.2.1.91
507,DDPA,2.5.1.54
508,NMNDA,3.5.1.42
509,NNAM,3.5.1.19
510,P5CD,1.2.1.88
511,P5CD,1.5.1.12
512,SPMDAT1,2.3.1.57
513,SPMDAT2,2.3.1.57
514,SPMDAT2,2.6.1.29
515,TDPADGAT,2.3.1.210
516,MALS,2.3.3.9
517,TRE6PP,3.1.3.12
518,ADPRDP,3.6.1.13
519,ARAI,5.3.1.4
520,ARAI,5.3.1.5
521,M1PD,1.1.1.17
522,G3PD2,1.1.1.94
523,GALS3,3.2.1.20
524,GALS3,3.2.1.22
525,FCI,5.3.1.3
526,FCLK,2.7.1.51
527,FCLPA,4.1.2.17
528,ACCOAL,6.2.1.13
529,GALUi,2.7.7.64
530,GALUi,2.7.7.9
531,U23GAAT,2.3.1.191
532,UAAGDS,6.3.2.13
533,UAMAS,6.3.2.8
534,UAMAGS,6.3.2.9
535,UGLYCH,3.5.1.116
536,UGLYCH,3.5.3.19
537,OP4ENH,4.2.1.80
538,HOPNTAL,4.1.2.-
539,HOPNTAL,4.1.2.n4
540,HOPNTAL,4.1.3.39
541,3HPPPNH,1.14.13.127
542,AKGDH,1.2.1.52
543,AKGDH,1.2.4.2
544,AKGDH,1.8.1.4
545,AKGDH,2.3.1.61
546,HPYRRx,1.1.1.26
547,HPYRRx,1.1.1.29
548,HPYRRx,1.1.1.81
549,GLYCDx,1.1.1.6
550,ASP1DC,4.1.1.11
551,ASP1DC,4.1.1.15
552,UGMDDS,6.3.2.10
553,UHGADA,3.5.1.108
554,UAGAAT,2.3.1.129
555,ATPPRT,2.4.2.17
556,HISTD,1.1.1.23
557,IGPDH,4.2.1.19
558,PRPPS,2.7.6.1
559,PRATPP,3.6.1.31
560,PRMICI,5.3.1.16
561,SERAT,2.3.1.30
562,CYSS,2.5.1.47
563,CYSS,2.5.1.65
564,BPNT,3.1.3.7
565,BPNT,3.1.3.97
566,PAPSR,1.8.4.8
567,ASPK,2.7.2.4
568,ASAD,1.2.1.11
569,DAPDC,4.1.1.20
570,METAT,2.5.1.6
571,ASCBPL,3.1.1.-
572,ACBIPGT,2.7.7.62
573,ADOCBLS,2.7.8.26
574,ADOCBIK,2.7.1.156
575,TMPK,2.7.4.16
576,HPPPNDO,1.13.11.16
577,DHCINDO,1.13.11.16
578,HKNDDH,3.7.1.14
579,HKNTDH,3.7.1.14
580,GLYCK2,2.7.1.165
581,GLYCK2,2.7.1.31
582,SULR,1.8.1.2
583,MANPGH,3.2.1.170
584,URDGLYCD,1.1.1.154
585,URDGLYCD,1.1.1.350
586,CBMKr,2.7.2.2
587,AMANAPEr,5.1.3.9
588,ACM6PH,4.2.1.126
589,NNATr,2.7.7.1
590,NNATr,2.7.7.18
591,CYTDH,3.2.2.3
592,CYTDH,3.2.2.8
593,PSERT,2.6.1.52
594,AIRC2,6.3.4.18
595,GAPD,1.2.1.12
596,GAPD,1.2.1.59
597,HEX1,2.7.1.1
598,HEX1,2.7.1.2
599,GND,1.1.1.351
600,GND,1.1.1.44
601,TAUDO,1.14.11.17
602,ME2,1.1.1.40
603,ARGSL,4.3.2.1
604,CBPS,6.3.5.5
605,GLU5K,2.7.2.11
606,IPPS,2.3.3.13
607,ACOATA,2.3.1.-
608,ACOATA,2.3.1.179
609,ACOATA,2.3.1.180
610,ACOATA,2.3.1.38
611,ACOATA,2.3.1.41
612,ACOATA,2.3.1.85
613,ACOATA,2.3.1.86
614,MLTG1,3.2.1.20
615,AMALT3,2.4.1.25
616,MLTP3,2.4.1.1
617,SPODM,1.15.1.1
618,AHCYSNS,3.2.2.9
619,TMK,2.7.1.89
620,NTPP4,3.6.1.65
621,NTPP4,3.6.1.8
622,NTPP4,3.6.1.9
623,NTPP3,3.6.1.12
624,NTPP3,3.6.1.65
625,NTPP3,3.6.1.9
626,NTPP6,3.6.1.8
627,NTPP6,3.6.1.9
628,NTPP7,3.6.1.19
629,NTPP7,3.6.1.9
630,NTPP8,3.6.1.8
631,NTPP8,3.6.1.9
632,P5CR,1.5.1.2
633,CYANST,2.8.1.1
634,DHPPDA2,3.5.4.26
635,GMAND,4.2.1.47
636,PPCSCT,2.8.3.1
637,CYTD,3.5.4.5
638,DCYTD,3.5.4.5
639,DBTS,6.3.3.3
640,DCTPD,3.5.4.13
641,G1PACT,2.3.1.157
642,G1PACT,2.3.1.4
643,GART,2.1.2.-
644,CSND,3.5.4.1
645,GF6PTA,2.6.1.16
646,GLUCYS,6.3.2.2
647,GLUN,1.4.1.13
648,GLUN,1.4.7.1
649,GLUN,3.5.1.2
650,GLUN,3.5.1.38
651,GLUN,4.3.3.6
652,GLUN,6.3.4.2
653,GLUN,6.3.5.2
654,GLUN,6.3.5.4
655,GLUN,6.3.5.5
656,GLUPRT,2.4.2.14
657,GMPR,1.7.1.7
658,NADS1,6.3.1.5
659,NADS1,6.3.5.1
660,NTRIR2x,1.7.1.15
661,NTRIR2x,1.7.1.4
662,OCBT,2.1.3.3
663,GARFT,2.1.2.2
664,GPDDA1,3.1.4.2
665,GPDDA1,3.1.4.46
666,GPDDA2,3.1.4.2
667,GPDDA2,3.1.4.46
668,PHETA1,2.6.1.1
669,PHETA1,2.6.1.42
670,PHETA1,2.6.1.5
671,PHETA1,2.6.1.57
672,PHETA1,2.6.1.58
673,PHETA1,2.6.1.9
674,PPND,1.3.1.12
675,TRPS1,4.2.1.20
676,PRAMPC,3.5.4.19
677,MCITL2,4.1.3.30
678,DXYLK,2.7.1.-
679,SOTA,2.6.1.81
680,SGSAD,1.2.1.71
681,PTA2,2.3.1.222
682,PTA2,2.3.1.8
683,ACOTA,2.6.1.11
684,GPDDA5,3.1.4.44
685,PPBNGS,4.2.1.24
686,PPNCL2,6.3.2.5
687,PRAGSr,6.3.4.13
688,PRFGS,6.3.5.3
689,ETHAAL,4.3.1.7
690,MAN1PT2,2.7.7.22
691,AP4AH,3.6.1.41
692,AP5AH,3.6.1.61
693,ADNCYC,4.6.1.1
694,MI1PP,3.1.3.25
695,MCITS,2.3.3.5
696,PPAKr,2.7.2.15
697,NTP3,3.6.1.15
698,NTP3,3.6.1.5
699,NTP3,3.6.5.1
700,NTP3,3.6.5.2
701,NTP3,3.6.5.3
702,NTP3,3.6.5.4
703,NTP3,3.6.5.5
704,NTP3,3.6.5.6
705,PPM2,5.4.2.7
706,MOAT2,2.4.99.13
707,G6PDH2r,1.1.1.363
708,G6PDH2r,1.1.1.49
709,MOHMT,2.1.2.11
710,GMPS,6.3.5.2
711,FTHFLi,6.3.4.3
712,UDPGD,1.1.1.22
713,GLCRD,4.2.1.40
714,PPPNDO,1.14.12.19
715,CHRPL,4.1.3.40
716,TDPAGTA,2.6.1.59
717,UACMAMO,1.1.1.336
718,FBA3,4.1.2.-
719,FBA3,4.1.2.13
720,PMPK,2.7.4.7
721,LCADi,1.2.1.22
722,ADK3,2.7.4.10
723,ADK3,2.7.4.4
724,GLUDC,4.1.1.15
725,BSORy,1.-.-.-
726,ADSK,2.7.1.25
727,HSDy,1.1.1.3
728,CYSTL,4.4.1.8
729,SHSL1,2.5.1.48
730,SSALy,1.2.1.16
731,SSALy,1.2.1.79
732,3HCINNMH,1.14.13.127
733,NMNt7pp,3.2.2.14
734,SPODMpp,1.15.1.1
735,NTP3pp,3.6.1.15
736,NTP3pp,3.6.1.5
737,NTP3pp,3.6.5.1
738,NTP3pp,3.6.5.2
739,NTP3pp,3.6.5.3
740,NTP3pp,3.6.5.4
741,NTP3pp,3.6.5.5
742,NTP3pp,3.6.5.6
743,NO3R2bpp,1.7.99.4
744,THD2pp,1.6.1.1
745,ACACT7r,2.3.1.155
746,ACACT7r,2.3.1.16
747,ACACT7r,2.3.1.9
748,PSP_L,3.1.3.3
749,ACACT2r,2.3.1.16
750,ACACT2r,2.3.1.9
751,ACACT3r,2.3.1.9
752,ACACT4r,2.3.1.16
753,ACACT4r,2.3.1.9
754,SULabcpp,3.6.3.25
755,TSULabcpp,3.6.3.25
756,AHGDx,1.1.1.399
757,AHGDx,1.1.1.M7
758,TAURabcpp,3.6.3.36
759,TREptspp,2.7.1.69
760,GTPCI,3.5.4.16
761,FDMO,1.14.14.5
762,CBL1abcpp,3.6.3.33
763,CHOLD,1.1.1.-
764,CHOLD,1.1.1.1
765,DRPA,4.1.2.4
766,TKT2,2.2.1.1
767,FEENTERabcpp,3.6.3.34
768,FECRMabcpp,3.6.3.34
769,ARGabcpp,3.6.3.21
770,ASPabcpp,3.6.3.21
771,NTD8pp,3.1.3.5
772,NTD8pp,3.1.3.89
773,CYSabcpp,3.6.3.21
774,TREHpp,3.2.1.28
775,ATPS4rpp,3.6.3.14
776,ARBabcpp,3.6.3.17
777,ECOAH8,4.2.1.134
778,ECOAH8,4.2.1.17
779,ECOAH5,4.2.1.17
780,ECOAH5,4.2.1.74
781,DHFS,6.3.2.12
782,DHFS,6.3.2.17
783,ACGAMK,2.7.1.59
784,METS,2.1.1.13
785,CYSabc2pp,3.6.3.21
786,PRASCSi,6.3.2.6
787,TRSARr,1.1.1.-
788,TRSARr,1.1.1.60
789,LYXI,5.3.1.-
790,CBIuabcpp,3.6.3.33
791,URIH,3.2.2.3
792,XTSNH,3.2.2.1
793,INSH,3.2.2.1
794,INSH,3.2.2.2
795,INSH,3.2.2.8
796,MTHFR2,1.5.1.20
797,ASPO5,1.5.99.-
798,ASPO6,1.4.3.16
799,ACACT5r,2.3.1.9
800,MALDDH,1.1.1.83
801,DHPS2,2.5.1.15
802,MTHFC,3.5.4.9
803,MTHFD,1.5.1.5
804,QULNS,2.5.1.72
805,ALKP,3.1.3.-
806,ALKP,3.1.3.1
807,ALKP,3.1.3.2
808,L_LACD3,1.1.2.3
809,L_LACD2,1.1.2.3
810,ACACT6r,2.3.1.16
811,ACACT6r,2.3.1.9
812,GGGABADr,1.2.1.-
813,GLYOX3,4.2.1.130
814,FDMO4,1.14.14.5
815,MALTATr,2.3.1.79
816,ENTERES,3.1.1.-
817,ALAGLUE,5.1.1.20
818,GGGABAH,3.5.1.94
819,CYANSTpp,2.8.1.1
820,MCPST,2.8.1.2
821,PHEMEabcpp,3.6.3.41
822,NODOy,1.14.12.17
823,GALM2pp,5.1.3.3
824,CU1abcpp,3.6.3.54
825,HEPT4,2.4.1.56
826,NODOx,1.14.12.17
827,NHFRBO,1.7.1.14
828,42A12BOOXpp,1.4.3.21
829,42A12BOOXpp,1.4.3.4
830,42A12BOOXpp,1.4.9.2
831,42A12BOOXpp,1.4.99.4
832,TYROXDApp,1.4.3.21
833,TYROXDApp,1.4.3.4
834,TYROXDApp,1.4.9.2
835,TYROXDApp,1.4.99.4
836,METSOXR1,1.8.4.11
837,METSOXR1,1.8.4.13
838,METSOXR1,1.8.4.14
839,METSOXR2,1.8.4.11
840,METSOXR2,1.8.4.13
841,METSOXR2,1.8.4.14
842,DAPAL,4.3.1.15
843,AMPTASECG,3.4.11.1
844,AMPTASECG,3.4.11.2
845,AMPTASECG,3.4.11.23
846,AMPTASECG,3.4.13.-
847,AMPTASECG,3.4.13.18
848,LACZpp,3.2.1.108
849,LACZpp,3.2.1.23
850,GPDDA1pp,3.1.4.2
851,GPDDA1pp,3.1.4.46
852,GPDDA5pp,3.1.4.44
853,FLVR,1.5.1.30
854,FLVR,1.5.1.41
855,FDMO2,1.14.14.34
856,FDMO2,1.14.14.5
857,FDMO2,1.14.14.ah
858,LALGP,3.4.13.18
859,UDPGALPpp,3.6.1.45
860,UACGAMPpp,3.6.1.45
861,UACGALPpp,3.6.1.45
862,FEROpp,1.16.3.1
863,ACGAL1PPpp,3.1.3.10
864,CBLAT,2.5.1.17
865,TDP,3.6.1.-
866,TDP,3.6.1.15
867,PTHRpp,3.1.3.-
868,ARABDI,5.3.1.3
869,ZNabcpp,3.6.3.5
870,PSP_Lpp,3.1.3.3
871,PAPSR2,1.8.4.8
